"","1","2","3"
"estimate","Original GBD method","Revised - Vigo et al. method","Revised - Composite method"
"cost_cc1","0.16","0.47","0.52"
"cost_cc2","0.82","2.34","2.6"
"cost_who1","1.85","5.32","5.91"
"cost_who2","5.55","15.95","17.73"
