"","1","2","3","4","5","6","7","8","9"
"estimate","2016 reallocation approach","2016 reallocation approach","2016 reallocation approach","Composite method","Composite method","Composite method","GBD 2019","GBD 2019","GBD 2019"
"numeric_name","val","lower","upper","val","lower","upper","val","lower","upper"
"cost_cc1","0.32","0.2","0.51","0.42","0.28","0.61","0.13","0.09","0.16"
"cost_cc2","1.61","0.99","2.53","2.09","1.38","3.04","0.63","0.46","0.82"
"cost_who3","5.6","3.46","8.8","7.28","4.82","10.6","2.18","1.62","2.84"
"cost_who4","16.79","10.38","26.41","21.84","14.47","31.8","6.55","4.86","8.53"
