"","1","2","3"
"estimate","Original GBD method","Revised - Vigo et al. method","Revised - Composite method"
"cost_cc1","0.09","0.16","0.21"
"cost_cc2","0.46","0.79","1.06"
"cost_who1","1.06","1.8","2.41"
"cost_who2","3.17","5.4","7.23"
